@relation '18-gen-2017'


@attribute Date date dd/MM/yyyy
@attribute Time date HH:mm:ss
@attribute Tweet string

@data

18/01/2017,22:54:54,'su facebook lo stesso hotel rigopiano affermava di avere le linee telefoniche rotte speriamo bene terremoto valanga'
18/01/2017,22:54:25,'salvini in mezzo alla neve tra i terremotati ah no è un pupazzo di neve terremoto'
18/01/2017,22:53:57,'la neve il terremoto e ora pure salvini non c è proprio pace per il centro italia'
18/01/2017,22:53:52,'st non è per forza necessario fare sponda a miserabili polemiche politiche su terremoto e amatrice'
18/01/2017,22:53:51,'dichiarazioni delle cariche di stato ormai fanno crescere solo la rabbia perché già sai che non avranno seguito terremoto'
18/01/2017,22:53:39,'forti scosse di terremoto il centro italia torna a tremare via'
18/01/2017,22:52:40,'ci chiediamo come mai da noi non ci sono attentati grazie al cavolo gli facciamo pena sob terremoto pauradellascossa neve'
18/01/2017,22:52:22,'terremoto maltempo dei 7 954 comuni italiani l 80 dispone di un piano di emergenza comunale in abruzzo 99 rif prot civ eppure'
18/01/2017,22:52:13,'terremoto centro italia valanga sull hotel rigopiano arriva il messaggio di un cliente dell albergo'
18/01/2017,22:52:10,'apocalisse abruzzo terremoto neve e esondazioni la regione è in ginocchio abr24 news'
18/01/2017,22:51:18,'cognata fa la magia emdr a 10nne dubito che basti per dormire nel proprio letto se salta la luce poi terremoto'
18/01/2017,22:51:16,'terremoto il super ricostruttore errani sta allestendo il suo mega costoso ufficio non in una tenda però sarà pronto per la vendemmia'
18/01/2017,22:51:13,'persone e animali assiderati oltre al terremoto quando vi muoverete'
18/01/2017,22:51:12,'neve e terremoto si sommano ma esistono da tanti secoli in abruzzo tuttora non esiste un piano per queste emergenze non si può improvvisare'
18/01/2017,22:51:03,'assccasalmonastero terremoto 18 gennaio 2017 la situazione a roma metro a b b1 chiuse a read blog'
18/01/2017,22:51:02,'l appello in tempo reale dei fabbisogni dalle zone del terremoto servono bobcat gruppi elettrogeni ma anche psicologi sorse'
