@RELATION tweets

@ATTRIBUTE Tweet STRING
@ATTRIBUTE Label {earthquake,non-earthquake}

@DATA

'è entrata mamma in bagno dopo aver buttato un urlo dicendo sbrigati esci il terremoto io così mi ha fatto prendere una paralisi',earthquake
'abruzzo 7novembre giovedì terremoto roma ingv terremoto balsorano gli esperti nel 1654 sisma di magnitudo 6 4',earthquake
'addio a castelluccio di norcia la perla dell appennino rasa al suolo dal terremoto 6 5',earthquake
'agenzia ansa terremoto ancora un altra scossa di 4 6 segnalati crolli a visso',earthquake
'alle 21 18 la seconda scossa di terremoto ancora più forte di magnitudo 5 9 poi ancora alle 23 42 un altra',earthquake
'altra scossa di terremoto avvertita in ciociaria continua lo sciame sismico',earthquake
'altra scossa di terremoto avvertita in ciociaria continua lo sciame sismico e la paura',earthquake
'amatrice il cane avverte il terremoto e trascina fuori casa la padrona prima che crolli la casa',earthquake
'ancora dramma terremoto centro italia sconvolto',earthquake
'ancora terremoto e panico in centro italia pompieri già pronti a partire',earthquake
'ancora terremoto numero di morti con un bilancio che cresce sempre più sempre impreparati l italia è un',earthquake
'ancora una volta l italia stroncata dal terremoto bilancio provvisorio 159 vittime',earthquake
'aquila terremoto anche noi spavento nn oso immaginare aquilani cm stanno',earthquake
'avvertita anche in sabina terremoto di magnitudo 4 4 tra abruzzo e lazio scossa avvertita anche a roma e napoli via',earthquake
'bellissima scossa di terremoto e ci siamo tutti un po cagati in mano io basta voglio qualche ora di pace con chi voglio io e senza pensare a altro',earthquake
'buona notte con un pensiero affettuoso alle persone colpite dal terremoto un abbraccio a tutti voi forza',earthquake
'calcio terremoto si ferma pescaraatalanta paura sugli spalti',earthquake
'caos a roma termini per scossa di terremoto ritardi fino a 200 minuti',earthquake
'case collassate ad amatrice dopo violenta scossa terremoto',earthquake
'clicca e leggi il terremoto fa tremare l italia magnitudo 6 5 scossa avvertita dal trentino alla puglia ne',earthquake
'cnr con il terremoto suolo giù di 18 cm deformazione per 20 km verso nord',earthquake
'crollata basilica san benedetto a norcia vicini alla popolazione terremoto',earthquake
'cronaca violente scosse di terremoto nell italia centrale crolli e feriti soccorsi al lavoro',earthquake
'dal terremoto ci salvi iddio roma daily news',earthquake
'devastante notizia oggi per quanto riguarda il terremoto in italia pregare per l italia',earthquake
'deve essere stato un boato folle non riesco neppure a immaginarlo terremoto',earthquake
'di nuovo la paura del terremoto siamo vicini alle popolazioni colpite questa mattina grazie ai volontari e ai',earthquake
'dongiodandrea su terremoto siamo vicini a tutti gli sfollati ai feriti e alle famiglie delle tante vittime di questa tragedia',earthquake
'dongiodandrea su terremoto stasera pensiero e la preghiera vanno a suffragio delle vittime e dei loro cari',earthquake
'due forti scosse di terremoto questa sera nel centro italia l epicentro nella valnerina',earthquake
'due forti scosse in poche ore crolla campanile camerino due forti scosse di terremoto in poche ore il cent',earthquake
'e anche stasera siamo tutta la famiglia a casa mia a dormire siamo tutti accampati non bastano nemmeno i letti terremoto',earthquake
'ecco la situazione a fabriano dove ci almeno 600 sfollati in attesa di verifiche a case terremotocentroitalia terremoto marche',earthquake
'eleonora giorgi spaventata dal terremoto ballava tutto pavimento e pareti via',earthquake
'emergenza sangue per terremoto l elenco degli ospedali per donare sangue a roma policlinico universitario',earthquake
'emergenza terremoto il comunicato di cns e civis',earthquake
'emergenza terremoto in centro italia partono dalla puglia esperti e tecnici della protezione civile',earthquake
'forte scossa avvertita ora a l aquila terremoto',earthquake
'forte scossa di terremoto dopo la paura ecco le ordinanze di chiusura delle scuole',earthquake
'forte scossa di terremoto in centro italia avvertita anche in campania',earthquake
'forte scossa di terremoto in ciociaria paura e gente in strada',earthquake
'forte scossa di terremoto in provincia de l aquila panico tra la popolazione',earthquake
'forte scossa di terremoto tra 4 4 e 4 9 richter nell aquilano ore 18 34 epicentro a balsorano 30 km da avezzano l incubo del terremoto torna di nuovo prepotentemente a farsi risentire me la pagherete anche per questo ve l assicuro abruzzesi di merda',earthquake
'forte terremoto vicino a rieti crolli ad amatrice paura a roma cronaca',earthquake
'fortissima scossa di terremoto all aquila ora avvertita anche a roma 4 8 tutti i dettagli',earthquake
'frattura monte porche le devastanti conseguenze del terremoto spaccano la montagna',earthquake
'frosinone e anagni scuole chiuse si temono scosse di terremoto stanotte',earthquake
'ho appena sentito di una scossa di terremoto a l aquila state tutti bene spero nessun danno e che sia l ultima preoccupata',earthquake
