@RELATION tweets

@ATTRIBUTE Text STRING
@ATTRIBUTE Label {earthquake,non-earthquake}

@DATA

'earthquak terremot m2 3 strikes 20 km of arcos de fronter spain 6 min ago mor info ',earthquake
'updat 18 01 20 10 irian jay nuov guine occidental papu indones strong earthquak fort terremot 17 38 ut ',earthquake
'1 5 magnitud earthquak 5 from lakeview ca unitedstates ',earthquake
'2 1 magnitud earthquak 5 from aguang ca unitedstates ',earthquake
'usgs reports m2 8 earthquak 6km sse of guanic puert ric on 1 18 20 22 57 57 utc ',earthquake
'usgs reports m2 8 earthquak 6km sse of guanic puert ric on 1 18 20 22 57 57 utc quak ',earthquake
'usgs reports m3 32 earthquak 5km of mar anton puert ric on 1 18 20 22 12 16 utc quak ',earthquake
'paur terremot scoss magnitud 6 registr cintur fuoc paur terremot scoss magnitud ',earthquake
'mapp effett terremot zon 4 km balsor aq 18 01 2020 21 52 05 ml 2 3 ',non-earthquake
'campotost terremot dimentic fot fantasm macer 3 sism ',non-earthquake
'terremot magnitud 2 3 ml profond 14 4 km zon 4 km balsor aq font ingv ',earthquake
'usgs reports m3 1 earthquak 8km of mar anton puert ric on 1 18 20 18 36 58 utc quak ',earthquake
'updat 18 01 20 10 irian jay nuov guine occidental papu indones strong earthquak fort terremot 17 38 utc 1 m 6 0 ',earthquake
'alban torn lent normal terremot devast ',non-earthquake
'sism earthquak prevencionff m 6 0 141km w of abepur indones ',earthquake
'regionelombard prend 550 eur impieg ristruttur fond perd attiv com ',non-earthquake
'terremot nuov guine scoss magnitud 6 0 terremot nuov guine scoss ',earthquake
'18gennai campotost terremot invis comun gravement fer pieg 18gennaio2017 18gennaio2020 ',earthquake
'è venerd 17 calabr arriv salvin terremot coincident calabr salvin terr ',earthquake
'usgs reports m2 5 earthquak 8km sse of mar anton puert ric on 1 18 20 17 42 29 utc quak ',earthquake
'1 8 magnitud earthquak 11 from lebec ca unitedstates ',earthquake
'scoss terremot catanzar terr trem notiz salvin calabr rosann nev ',earthquake
'usgs reports m3 51 earthquak 22km sse of guanic puert ric on 1 18 20 16 57 01 utc q ',earthquake
'4 2 magnitud earthquak 1 km from tallabo penuelas puert ric ',earthquake
'terremot scoss terremot 2020 01 18 16 38 13 m6 0 near the north coast of papu indones 2 9 139 3 8fbb3 font usgs ',earthquake
'6 0 earthquak abepur indones 20 9 deep ',earthquake
'usgs reports m3 51 earthquak 22km sse of guanic puert ric on 1 18 20 16 57 01 utc quak ',earthquake
'18 01 18 10 irian jay nuov guine occidental papu indones strong earthquak fort terremot 17 38 utc 1 m 6 0 ',earthquake
'usgs reports m4 1 earthquak 22km sse of guanic puert ric on 1 18 20 16 56 59 utc qu ',earthquake
'terremot prim fond stanz ricostru mugell serviz ',non-earthquake
'earthquak terremot m2 2 strikes 19 km s of barcellon pozz gott italy 15 min ago mor info ',earthquake
'm4 1 region de puert ric 10 0km 18 01 2020 16 56 59 utc sism terremot g usgs ',earthquake
'terremot terremot indones violent scoss magnitud 6 sarm dettagl ',earthquake
'stim provvisor terremot mag 2 8 3 3 15 12 it 18 01 2020 prov zon cosenz ingv 23789801 ',earthquake
'1 7 magnitud earthquak 6 from deserthotsprings ca unitedstates ',earthquake
